UFID|UF_SECURITY_FLG|UF_PROTECT_FLG|UF_PUBLISH_FLG
80080985|N|N|Y
80081017|N|N|Y
80081035|N|N|Y
80081284|N|N|Y
80081401|N|N|N
80081510|N|N|N
80081521|N|N|N
80081526|N|N|Y
80081551|N|N|Y
80081821|N|N|N
80081923|N|N|N
80082027|N|N|Y
80082067|N|N|Y
80082070|N|N|N
80082230|N|N|N
80082241|N|N|N
80082250|N|N|N
80082280|N|N|N
80082340|N|N|N
80082460|N|N|Y
80082608|N|N|Y
80082661|N|N|N
80082740|N|N|N
80082770|N|N|Y
80082780|N|N|Y
80082860|N|N|Y
80083010|N|N|N
80083081|N|N|Y
80083149|N|N|Y
80083160|N|N|Y
80083190|N|N|N
80083191|N|N|Y
80083360|N|N|N
80083370|N|N|N
80083417|N|N|Y
80083501|N|N|N
80083510|N|N|N
80083513|N|N|Y
80083570|N|N|N
80083647|N|N|Y
80083690|N|N|Y
80083760|N|N|Y
80083790|N|N|N
80083903|N|N|Y
80083921|N|N|N
80084020|N|N|Y
80084110|N|N|N
80084231|N|N|Y
80084256|N|N|Y
80084280|N|N|N
80084341|N|N|N
80084350|N|N|N
80084356|N|N|Y
80084390|N|N|N
80084451|N|N|N
80084761|N|N|N
80084772|N|N|Y
80084920|N|N|N
80084930|N|N|N
80084999|N|N|Y
80085079|N|N|N
80085181|N|N|N
80085214|N|N|Y
80085270|N|N|Y
80085313|N|N|Y
80085580|N|N|Y
80085601|N|N|N
80085690|N|N|Y
80085730|N|N|N
80085742|N|N|Y
80085750|N|N|N
80085854|N|N|Y
80086021|N|N|N
80086395|N|N|Y
80086440|N|N|N
80086441|N|N|N
80086460|N|N|N
80086485|N|N|Y
80086550|N|N|N
80086620|N|N|N
80086657|N|N|N
80086670|N|N|N
80086720|N|N|N
80086800|N|N|N
80086861|N|N|N
80086936|N|N|Y
80087170|N|N|N
80087180|N|N|N
80087189|N|N|Y
80087228|N|N|Y
80087234|N|N|Y
80087281|N|N|N
80087340|N|N|Y
80087380|N|N|N
80087419|N|N|Y
80087430|N|N|N
80087477|N|N|Y
80087650|N|N|Y
80087701|N|N|N
80087840|N|N|N
80087940|N|N|N
80087971|N|N|Y
80088018|N|N|Y
80088121|N|N|N
80088220|N|N|N
80088235|N|N|Y
80088530|N|N|N
80088541|N|N|N
80088559|N|N|Y
80088646|N|N|Y
80088649|N|N|Y
80088714|N|N|Y
80088740|N|N|N
80088961|N|N|N
80089100|N|N|Y
80089141|N|N|Y
80089200|N|N|Y
80089250|N|N|N
80089308|N|N|Y
80089310|N|N|N
80089330|N|N|Y
80089381|N|N|N
80089420|N|N|N
80089428|N|N|Y
80089457|N|N|Y
80089470|N|N|N
80089611|N|N|Y
80089641|N|N|Y
80089801|N|N|N
80089813|N|N|N
80089820|N|N|Y
80089870|N|N|Y
80089979|N|N|N
80089981|N|N|N
80090071|N|N|Y
80090110|N|N|N
80090150|N|N|Y
80090170|N|N|N
80090182|N|N|Y
80090200|N|N|Y
80090221|N|N|N
80090246|N|N|N
80090250|N|N|N
80090460|N|N|N
80090490|N|N|N
80090514|N|N|Y
80090550|N|N|N
80090565|N|N|Y
80090570|N|N|N
80090580|N|N|N
80090610|N|N|N
80090641|N|N|N
80090723|N|N|Y
80090894|N|N|Y
80090943|N|N|Y
80090958|N|N|Y
80090960|N|N|N
80091061|N|N|N
80091110|N|N|N
80091264|N|N|Y
80091391|N|N|N
80091481|N|N|N
80091660|N|N|N
80091686|N|N|Y
80091735|N|N|N
80091805|N|N|Y
80091830|N|N|Y
80091847|N|N|Y
80091870|N|N|Y
80091892|N|N|Y
80091901|N|N|N
80091910|N|N|N
80091950|N|N|N
80091976|N|N|Y
80092101|N|N|Y
80092134|N|N|Y
80092310|N|N|N
80092321|N|N|N
80092346|N|N|Y
80092429|N|N|Y
80092529|N|N|Y
80092540|N|N|N
80092741|N|N|N
80092887|N|N|Y
80092910|N|N|N
80092969|N|N|N
80093000|N|N|Y
80093020|N|N|N
80093028|N|N|Y
80093161|N|N|N
80093172|N|N|Y
80093250|N|N|N
80093280|N|N|N
80093428|N|N|Y
80093439|N|N|N
80093470|N|N|N
80093490|N|N|N
80093581|N|N|N
80093630|N|N|Y
80093638|N|N|Y
80093649|N|N|Y
80093720|N|N|N
80093824|N|N|Y
80093860|N|N|N
80093896|N|N|Y
80093910|N|N|Y
80093915|N|N|Y
80093940|N|N|N
80093949|N|N|Y
80093958|N|N|Y
80093969|N|N|Y
80093991|N|N|Y
80094001|N|N|N
80094340|N|N|N
80094400|N|N|N
80094421|N|N|N
80094510|N|N|Y
80094547|N|N|N
80094570|N|N|N
80094658|N|N|Y
80094710|N|N|N
80094780|N|N|N
80094833|N|N|Y
80094841|N|N|N
80095011|N|N|Y
80095051|N|N|Y
80095136|N|N|N
80095169|N|N|Y
80095220|N|N|N
80095261|N|N|Y
80095401|N|N|Y
80095449|N|N|N
80095460|N|N|Y
80095592|N|N|Y
80095620|N|N|Y
80095630|N|N|Y
80095681|N|N|N
80095701|N|N|Y
80095751|N|N|N
80095790|N|N|N
80095910|N|N|N
80095970|N|N|N
80095990|N|N|N
80096101|N|N|N
80096125|N|N|N
